context;influencer;regular_node_set_unique;regular_node_set_grouped;new_activations
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;0;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;1;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;2;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;3;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;4;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;5;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;6;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;7;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;8;[9, 5];[9, 5];2
-0.00045785511050204785 0.00208600368833578 0.004097479471059251 -0.0023035802154274475 -0.00041246432308985617 0.006397466710087829 0.0026770953336283875 0.020147170257120005 -0.010906430193461492 -0.005267126638277819;9;[9, 5];[9, 5];2
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;0;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;1;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;2;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;3;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;4;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;5;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;6;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;7;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;8;[4, 6, 7];[4, 6, 7];3
0.002173948665893377 0.0071517560505588215 0.004899058021923896 0.00012174726550457926 0.0008811032970664545 0.014745147994289609 0.006537507097537154 0.02718828622298215 -0.003747936727358292 -0.008913956092900178;9;[4, 6, 7];[4, 6, 7];3
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;0;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;1;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;2;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;3;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;4;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;5;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;6;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;7;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;8;[8, 4, 6, 7];[8, 4, 6, 7];4
0.004069469888880395 0.014291754701082172 0.008260354953543426 -0.001643121359671751 -0.0012881042105437278 0.012774727386028872 0.008944872423898987 0.027121450272973524 -0.009056846822224296 -0.007210631640707499;9;[8, 4, 6, 7];[8, 4, 6, 7];4
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;0;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;1;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;2;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;3;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;4;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;5;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;6;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;7;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;8;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
0.005227705596764487 0.01264313127172365 0.010030514585500106 -0.0045191090964659345 -0.0037595407554995353 0.012599514330475237 0.011044906209938875 0.02213349419538908 -0.01601910352413627 -0.005222102532342676;9;[0, 1, 2, 3, 4, 5, 6, 8];[0, 1, 2, 3, 4, 5, 6, 8];8
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;0;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;1;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;2;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;3;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;4;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;5;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;6;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;7;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;8;[3, 4, 5];[3, 4, 5];3
-0.0020707122818651503 0.005439300657991209 0.005223598398071361 -0.004342048332546344 -0.004723402202112004 0.005032070640864838 0.008197301456406337 0.015389568517330665 -0.017579853935783363 -0.006411965069175208;9;[3, 4, 5];[3, 4, 5];3
