reward;all_reward;seed;algorithm;round;horizon;episode;ex_time
3;3;866;gnb;1;50;0;
3;3;866;gnb;2;50;0;
5;6;866;gnb;3;50;0;
9;13;866;gnb;4;50;0;
10;14;866;gnb;5;50;0;
10;15;866;gnb;6;50;0;
10;21;866;gnb;7;50;0;
10;22;866;gnb;8;50;0;
10;25;866;gnb;9;50;0;
10;29;866;gnb;10;50;0;
10;30;866;gnb;11;50;0;
10;35;866;gnb;12;50;0;
10;36;866;gnb;13;50;0;
10;38;866;gnb;14;50;0;
10;47;866;gnb;15;50;0;
10;50;866;gnb;16;50;0;
10;51;866;gnb;17;50;0;
10;58;866;gnb;18;50;0;
10;67;866;gnb;19;50;0;
10;74;866;gnb;20;50;0;
10;76;866;gnb;21;50;0;
10;84;866;gnb;22;50;0;
10;88;866;gnb;23;50;0;
10;93;866;gnb;24;50;0;
10;96;866;gnb;25;50;0;
10;99;866;gnb;26;50;0;
10;103;866;gnb;27;50;0;
10;104;866;gnb;28;50;0;
10;105;866;gnb;29;50;0;
10;106;866;gnb;30;50;0;
10;109;866;gnb;31;50;0;
10;117;866;gnb;32;50;0;
10;120;866;gnb;33;50;0;
10;124;866;gnb;34;50;0;
10;127;866;gnb;35;50;0;
10;128;866;gnb;36;50;0;
10;132;866;gnb;37;50;0;
10;133;866;gnb;38;50;0;
10;135;866;gnb;39;50;0;
10;144;866;gnb;40;50;0;
10;147;866;gnb;41;50;0;
10;154;866;gnb;42;50;0;
10;159;866;gnb;43;50;0;
10;162;866;gnb;44;50;0;
10;163;866;gnb;45;50;0;
10;171;866;gnb;46;50;0;
10;176;866;gnb;47;50;0;
10;176;866;gnb;48;50;0;
10;178;866;gnb;49;50;0;
10;184;866;gnb;50;50;0;
